Task: clean up the beige table and put all items to kitchen

(1) Go to, beige table(success) 
(2) Pick, item(fail) 
(3) Pick, item(fail) 
(4) Pick, item(fail) 
(5) Pick, item(fail) 
(6) Pick, item(fail) 
(7) Pick, item(fail) 
(8) Pick, item on the table(fail) 
(9) Pick, item on the table(fail) 
(10) Pick, item on the table(fail) 
(11) Pick, item on the table(fail) 
(12) Pick, item(fail) 
(13) Pick, item on the table(fail) 
(14) Pick, item on the beige table(fail) 
(15) Pick, stack of papers(fail) 
(16) Pick, box(fail) 
(17) Go to, closer to the table(fail) 
(18) Pick, item on the table(fail) 
(19) Pick, visible item on the beige table(fail)
