Task: find two bowls in the room and put them in the kitchen sink
(1) Go to, kitchen(success) 
(2) Go to, kitchen(success) 
(3) Go to, kitchen(success) 
(4) Go to, kitchen(success) 
(5) Go to, kitchen(success) 
(6) Go to, kitchen(success) 
(7) Go to, living room(success) 
(8) Go to, living room(success) 
(9) Go to, kitchen(success) 
(10) Go to, kitchen(success) 
(11) Go to, living room(success) 
(12) Go to, living room(success) 
(13) Go to, living room(success) 
(14) Go to, living room(success) 
(15) Go to, living room(success) 
(16) Go to, living room(success) 
(17) Go to, living room(success) 
(18) Go to, living room(success) 
(19) Go to, living room(success)
